epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,344.216,0.01016,1.56447,1.92993,0.6804,0.61322,0.68269,0.33899,0.01162,1.55421,2.05188,0.00786368,0.00786368,0.00786368
43,352.403,0.01019,1.54579,1.94632,0.61672,0.62964,0.62832,0.32741,0.01202,1.60165,2.15735,0.00781158,0.00781158,0.00781158
44,360.564,0.01022,1.55437,1.9507,0.66511,0.66528,0.70585,0.37481,0.01068,1.46212,1.91549,0.00775947,0.00775947,0.00775947
45,368.749,0.0101,1.5372,1.92199,0.62672,0.64672,0.68364,0.34787,0.0115,1.52823,2.05177,0.00770737,0.00770737,0.00770737
46,376.925,0.01013,1.52194,1.93661,0.53042,0.69313,0.66131,0.33186,0.01167,1.58701,2.05731,0.00765526,0.00765526,0.00765526
47,385.103,0.01001,1.51612,1.91182,0.62199,0.68693,0.72321,0.381,0.01093,1.38487,1.94746,0.00760316,0.00760316,0.00760316
48,393.261,0.0101,1.52155,1.92734,0.77221,0.61467,0.70098,0.36204,0.01116,1.46126,2.0134,0.00755105,0.00755105,0.00755105
49,401.425,0.01,1.51752,1.91509,0.68586,0.68938,0.72509,0.37754,0.01102,1.45015,1.99786,0.00749895,0.00749895,0.00749895
50,409.616,0.00993,1.48555,1.89655,0.6859,0.6882,0.75075,0.39455,0.01091,1.37728,1.98865,0.00744684,0.00744684,0.00744684
51,417.863,0.00997,1.5002,1.911,0.65803,0.68833,0.71655,0.3848,0.01084,1.401,2.00665,0.00739474,0.00739474,0.00739474
52,425.996,0.00996,1.50162,1.9053,0.67344,0.64096,0.69847,0.35485,0.01152,1.45318,2.05558,0.00734263,0.00734263,0.00734263
53,434.144,0.01005,1.49587,1.91306,0.73384,0.64412,0.71868,0.37769,0.01081,1.44539,2.00312,0.00729053,0.00729053,0.00729053
54,442.294,0.00995,1.47674,1.90976,0.64431,0.6798,0.71378,0.38459,0.01089,1.417,1.98733,0.00723842,0.00723842,0.00723842
55,450.435,0.00999,1.48558,1.8976,0.64376,0.67909,0.71607,0.39377,0.0105,1.40569,1.94644,0.00718632,0.00718632,0.00718632
56,458.577,0.00984,1.47677,1.88515,0.74559,0.63294,0.70068,0.37964,0.01086,1.41603,1.96707,0.00713421,0.00713421,0.00713421
57,466.714,0.00984,1.453,1.87498,0.6665,0.69527,0.73026,0.38671,0.01087,1.36856,1.97136,0.00708211,0.00708211,0.00708211
58,474.858,0.00989,1.46516,1.90409,0.73006,0.61034,0.69743,0.38135,0.01066,1.48342,1.97336,0.00703,0.00703,0.00703
59,483.01,0.00983,1.44985,1.88818,0.6745,0.6894,0.73576,0.40384,0.01046,1.33268,1.94613,0.00697789,0.00697789,0.00697789
60,491.174,0.0097,1.43883,1.8818,0.70476,0.67664,0.72028,0.38489,0.011,1.38327,2.01117,0.00692579,0.00692579,0.00692579
61,499.322,0.00984,1.43207,1.88224,0.62645,0.66261,0.69071,0.357,0.01139,1.42682,2.04916,0.00687368,0.00687368,0.00687368
62,507.43,0.00971,1.41751,1.85397,0.65649,0.68176,0.72337,0.38675,0.01091,1.34543,1.99564,0.00682158,0.00682158,0.00682158
63,515.592,0.00978,1.44071,1.87653,0.7052,0.69405,0.74049,0.40552,0.01069,1.32022,1.93336,0.00676947,0.00676947,0.00676947
64,523.721,0.00984,1.43903,1.87513,0.73363,0.67167,0.73801,0.40616,0.01062,1.36627,1.9212,0.00671737,0.00671737,0.00671737
65,531.865,0.00971,1.41309,1.87302,0.68274,0.66579,0.71832,0.37788,0.01091,1.35986,1.98026,0.00666526,0.00666526,0.00666526
66,539.986,0.00981,1.42744,1.86999,0.60876,0.68056,0.69823,0.37108,0.01104,1.43483,2.00219,0.00661316,0.00661316,0.00661316
67,548.155,0.00971,1.41636,1.87225,0.73506,0.70704,0.74806,0.40675,0.01062,1.30649,1.95648,0.00656105,0.00656105,0.00656105
68,556.322,0.00966,1.40237,1.86037,0.71278,0.70221,0.75751,0.42712,0.01027,1.29628,1.88296,0.00650895,0.00650895,0.00650895
69,564.455,0.00959,1.37722,1.85132,0.66644,0.70605,0.73501,0.41068,0.0105,1.27513,1.9137,0.00645684,0.00645684,0.00645684
