epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,399.82,0.01023,1.55197,1.91462,0.695,0.66756,0.69516,0.34972,0.01153,1.47818,2.02432,0.00786368,0.00786368,0.00786368
43,408.97,0.01025,1.5531,1.91738,0.8322,0.63226,0.70279,0.36117,0.01147,1.45177,2.01345,0.00781158,0.00781158,0.00781158
44,418.166,0.01028,1.55536,1.92639,0.62454,0.66304,0.68466,0.34705,0.01166,1.47227,2.00686,0.00775947,0.00775947,0.00775947
45,427.364,0.01016,1.52949,1.90071,0.61134,0.56712,0.59583,0.27281,0.01294,1.6723,2.16867,0.00770737,0.00770737,0.00770737
46,436.589,0.01027,1.53991,1.92795,0.6445,0.67216,0.68757,0.35483,0.01108,1.50631,1.99785,0.00765526,0.00765526,0.00765526
47,445.816,0.00999,1.51936,1.89591,0.69152,0.64931,0.70912,0.36276,0.0112,1.42284,1.97417,0.00760316,0.00760316,0.00760316
48,455.032,0.01013,1.51236,1.90218,0.61328,0.66176,0.64368,0.32315,0.01169,1.49824,2.06201,0.00755105,0.00755105,0.00755105
49,464.249,0.0101,1.50629,1.89425,0.63486,0.69205,0.69851,0.35252,0.01164,1.44491,2.05093,0.00749895,0.00749895,0.00749895
50,473.406,0.01004,1.47982,1.87439,0.64112,0.68188,0.69053,0.34629,0.01187,1.44274,2.06228,0.00744684,0.00744684,0.00744684
51,482.701,0.01005,1.49403,1.88841,0.70304,0.65451,0.70664,0.37519,0.0109,1.37914,1.99342,0.00739474,0.00739474,0.00739474
52,491.92,0.01007,1.49852,1.88866,0.80248,0.58709,0.68361,0.33858,0.01161,1.50832,2.06384,0.00734263,0.00734263,0.00734263
53,501.169,0.01009,1.50928,1.90024,0.83967,0.57128,0.6938,0.36681,0.01122,1.40628,1.99316,0.00729053,0.00729053,0.00729053
54,510.387,0.01001,1.46883,1.89384,0.7031,0.67717,0.71366,0.36736,0.01084,1.42766,1.9567,0.00723842,0.00723842,0.00723842
55,519.622,0.01006,1.49242,1.88833,0.63156,0.57021,0.61873,0.30534,0.01189,1.65706,2.08477,0.00718632,0.00718632,0.00718632
56,528.818,0.00989,1.47769,1.86766,0.69672,0.66683,0.72616,0.39161,0.01068,1.39087,1.9485,0.00713421,0.00713421,0.00713421
57,538.042,0.00985,1.44179,1.85618,0.71163,0.6684,0.70673,0.37486,0.01122,1.36618,1.98635,0.00708211,0.00708211,0.00708211
58,547.2,0.00994,1.46983,1.88149,0.75377,0.60188,0.6985,0.37624,0.01075,1.42129,1.95731,0.00703,0.00703,0.00703
59,556.388,0.00985,1.4494,1.85559,0.59007,0.65769,0.68919,0.36196,0.01102,1.36756,1.97659,0.00697789,0.00697789,0.00697789
